year,Origin,Asylum,Refugee,originLon,originLat,destinationLon,destinationLat
2022,Ukraine,Luxembourg,4259,31.2718321,49.4871968,6.1296751,49.8158683
2022,Ukraine,Latvia,34256,31.2718321,49.4871968,24.7537645,56.8406494
2022,Ukraine,North Macedonia,1174,31.2718321,49.4871968,21.7168387,41.6171214
2022,Ukraine,Moldova,75762,31.2718321,49.4871968,28.5670941,47.2879608
2022,Ukraine,Mexico,20,31.2718321,49.4871968,-102.0077097,23.6585116
2022,Ukraine,Montenegro,9133,31.2718321,49.4871968,19.5180992,42.9868853
2022,Ukraine,Malta,1337,31.2718321,49.4871968,14.4476911,35.8885993
2022,Ukraine,Netherlands,67612,31.2718321,49.4871968,5.541246849,52.24764975
2022,Ukraine,Norway,19916,31.2718321,49.4871968,8.7876653,61.1529386
2022,Ukraine,Panama,9,31.2718321,49.4871968,-81.1308434,8.559559
2022,Ukraine,Peru,23,31.2718321,49.4871968,-75.0458515,-6.8699697
2022,Ukraine,Poland,1200207,31.2718321,49.4871968,19.134422,52.215933
2022,Ukraine,Portugal,38272,31.2718321,49.4871968,-8.1353519,39.6621648
2022,Ukraine,Romania,83326,31.2718321,49.4871968,24.6859225,45.9852129
2022,Ukraine,South Africa,5,31.2718321,49.4871968,24.991639,-28.8166236
2022,Ukraine,Russian Federation,1456250,31.2718321,49.4871968,97.7453061,64.6863136
2022,Ukraine,Spain,128129,31.2718321,49.4871968,-4.8379791,39.3260685
2022,Ukraine,Kosovo,772,31.2718321,49.4871968,20.9021231,42.5869578
2022,Ukraine,Slovakia,83297,31.2718321,49.4871968,19.4528646,48.7411522
2022,Ukraine,Slovenia,6652,31.2718321,49.4871968,14.8153333,46.1199444
2022,Ukraine,Sweden,40129,31.2718321,49.4871968,14.5208584,59.6749712
2022,Ukraine,Switzerland,57697,31.2718321,49.4871968,8.2319736,46.7985624
2022,Ukraine,Uruguay,15,31.2718321,49.4871968,-56.0201525,-32.8755548
2022,Ukraine,United States of America,2794,31.2718321,49.4871968,-100.445882,39.7837304
